username,repo_name,stars,repo_url
public-apis,public-apis,"206,042",https://www.github.com/public-apis/public-apis
neovim,neovim,"56,961",https://www.github.com/neovim/neovim
tiangolo,fastapi,"48,492",https://www.github.com/tiangolo/fastapi
strapi,strapi,"47,240",https://www.github.com/strapi/strapi
hoppscotch,hoppscotch,"45,840",https://www.github.com/hoppscotch/hoppscotch
slatedocs,slate,"34,402",https://www.github.com/slatedocs/slate
meilisearch,meilisearch,"28,737",https://www.github.com/meilisearch/meilisearch
hasura,graphql-engine,"27,762",https://www.github.com/hasura/graphql-engine
ccxt,ccxt,"25,482",https://www.github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,"25,274",https://www.github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,"24,864",https://www.github.com/YMFE/yapi
encode,django-rest-framework,"23,968",https://www.github.com/encode/django-rest-framework
httpie,httpie,"23,216",https://www.github.com/httpie/httpie
Kong,insomnia,"22,578",https://www.github.com/Kong/insomnia
littlecodersh,ItChat,"22,399",https://www.github.com/littlecodersh/ItChat
paularmstrong,normalizr,"20,903",https://www.github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,"20,317",https://www.github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,"19,918",https://www.github.com/microsoft/api-guidelines
pubkey,rxdb,"17,847",https://www.github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,"17,719",https://www.github.com/shieldfy/API-Security-Checklist
