username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,"10,805",https://www.github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,"10,565",https://www.github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,"10,297",https://www.github.com/bitwarden/server
abpframework,abp,"8,493",https://www.github.com/abpframework/abp
nopSolutions,nopCommerce,"7,431",https://www.github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,"6,393",https://www.github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,"5,323",https://www.github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,"5,313",https://www.github.com/RicoSuter/NSwag
smartstore,SmartStoreNET,"2,481",https://www.github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,"2,465",https://www.github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,"2,318",https://www.github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,"2,238",https://www.github.com/serenity-is/Serenity
loic-sharma,BaGet,"2,107",https://www.github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,"1,917",https://www.github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,"1,458",https://www.github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,"1,198",https://www.github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,"1,038",https://www.github.com/MarimerLLC/csla
antonioCoco,SharPyShell,625,https://www.github.com/antonioCoco/SharPyShell
riganti,dotvvm,621,https://www.github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,615,https://www.github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
