username,repo_name,stars,repo_url
ljianshu,Blog,"7,253",https://www.github.com/ljianshu/Blog
metafizzy,infinite-scroll,"7,140",https://www.github.com/metafizzy/infinite-scroll
developit,unfetch,"5,378",https://www.github.com/developit/unfetch
jquery-form,form,"5,148",https://www.github.com/jquery-form/form
olifolkerd,tabulator,"4,835",https://www.github.com/olifolkerd/tabulator
Studio-42,elFinder,"4,304",https://www.github.com/Studio-42/elFinder
ded,reqwest,"2,926",https://www.github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,"2,845",https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,"2,426",https://www.github.com/elbywan/wretch
LeaVerou,bliss,"2,369",https://www.github.com/LeaVerou/bliss
wendux,ajax-hook,"2,120",https://www.github.com/wendux/ajax-hook
noelboss,featherlight,"2,061",https://www.github.com/noelboss/featherlight
craftpip,jquery-confirm,"1,804",https://www.github.com/craftpip/jquery-confirm
ptaoussanis,sente,"1,652",https://www.github.com/ptaoussanis/sente
nette,tracy,"1,546",https://www.github.com/nette/tracy
joaomilho,Enterprise,"1,531",https://www.github.com/joaomilho/Enterprise
loadingio,css-spinner,"1,394",https://www.github.com/loadingio/css-spinner
u014427391,jeeplatform,"1,358",https://www.github.com/u014427391/jeeplatform
MoOx,pjax,"1,304",https://www.github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,"1,276",https://www.github.com/codingforentrepreneurs/eCommerce
