username,repo_name,stars,repo_url
jwasham,coding-interview-university,"230,259",https://www.github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,"155,680",https://www.github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,"148,957",https://www.github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,"142,400",https://www.github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,"77,019",https://www.github.com/yangshun/tech-interview-handbook
kdn251,interviews,"58,019",https://www.github.com/kdn251/interviews
azl397985856,leetcode,"49,093",https://www.github.com/azl397985856/leetcode
TheAlgorithms,Java,"47,331",https://www.github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,"38,791",https://www.github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,"30,770",https://www.github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,"26,777",https://www.github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,"26,342",https://www.github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,"26,010",https://www.github.com/donnemartin/interactive-coding-challenges
huihut,interview,"25,438",https://www.github.com/huihut/interview
TheAlgorithms,JavaScript,"21,766",https://www.github.com/TheAlgorithms/JavaScript
keon,algorithms,"21,448",https://www.github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,"20,554",https://www.github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,"19,704",https://www.github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,"19,542",https://www.github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,"15,928",https://www.github.com/AtsushiSakai/PythonRobotics
