username,repo_name,stars,repo_url
serverless,serverless,"43,298",https://www.github.com/serverless/serverless
localstack,localstack,"43,061",https://www.github.com/localstack/localstack
bregman-arie,devops-exercises,"28,383",https://www.github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,"23,500",https://www.github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,"13,389",https://www.github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,"13,000",https://www.github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,"12,760",https://www.github.com/aws/aws-cli
kubernetes-sigs,kubespray,"12,730",https://www.github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,"10,597",https://www.github.com/donnemartin/awesome-aws
mozilla,sops,"10,499",https://www.github.com/mozilla/sops
apereo,cas,"9,649",https://www.github.com/apereo/cas
aws,chalice,"9,139",https://www.github.com/aws/chalice
aws,aws-cdk,"9,094",https://www.github.com/aws/aws-cdk
caprover,caprover,"9,014",https://www.github.com/caprover/caprover
aws-amplify,amplify-js,"8,865",https://www.github.com/aws-amplify/amplify-js
aws,serverless-application-model,"8,681",https://www.github.com/aws/serverless-application-model
apex,up,"8,589",https://www.github.com/apex/up
google,go-cloud,"8,523",https://www.github.com/google/go-cloud
angristan,openvpn-install,"8,492",https://www.github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,"8,388",https://www.github.com/GoogleCloudPlatform/terraformer
