username,repo_name,stars,repo_url
amphp,amp,"3,676",https://www.github.com/amphp/amp
danog,MadelineProto,"2,049",https://www.github.com/danog/MadelineProto
amphp,http-server,"1,193",https://www.github.com/amphp/http-server
unreal4u,telegram-api,727,https://www.github.com/unreal4u/telegram-api
amphp,http-client,622,https://www.github.com/amphp/http-client
amphp,parallel,595,https://www.github.com/amphp/parallel
php-service-bus,service-bus,328,https://www.github.com/php-service-bus/service-bus
amphp,byte-stream,299,https://www.github.com/amphp/byte-stream
amphp,mysql,284,https://www.github.com/amphp/mysql
amphp,parallel-functions,230,https://www.github.com/amphp/parallel-functions
amphp,process,188,https://www.github.com/amphp/process
amphp,socket,168,https://www.github.com/amphp/socket
amphp,dns,123,https://www.github.com/amphp/dns
amphp,redis,129,https://www.github.com/amphp/redis
amphp,sync,116,https://www.github.com/amphp/sync
kelunik,acme,114,https://www.github.com/kelunik/acme
amphp,websocket-client,108,https://www.github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://www.github.com/PeeHaa/mailgrab
amphp,websocket-server,82,https://www.github.com/amphp/websocket-server
amphp,serialization,81,https://www.github.com/amphp/serialization
