username,repo_name,stars,repo_url
flutter,flutter,"143,766",https://www.github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,"95,070",https://www.github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,"69,269",https://www.github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,"54,939",https://www.github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,"46,357",https://www.github.com/google/material-design-icons
wasabeef,awesome-android-ui,"43,602",https://www.github.com/wasabeef/awesome-android-ui
square,okhttp,"42,698",https://www.github.com/square/okhttp
Solido,awesome-flutter,"42,282",https://www.github.com/Solido/awesome-flutter
android,architecture-samples,"41,330",https://www.github.com/android/architecture-samples
square,retrofit,"40,410",https://www.github.com/square/retrofit
dcloudio,uni-app,"37,030",https://www.github.com/dcloudio/uni-app
fastlane,fastlane,"35,685",https://www.github.com/fastlane/fastlane
PhilJay,MPAndroidChart,"35,465",https://www.github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,"33,119",https://www.github.com/airbnb/lottie-android
bumptech,glide,"32,897",https://www.github.com/bumptech/glide
shadowsocks,shadowsocks-android,"32,797",https://www.github.com/shadowsocks/shadowsocks-android
laurent22,joplin,"31,610",https://www.github.com/laurent22/joplin
skylot,jadx,"31,337",https://www.github.com/skylot/jadx
Blankj,AndroidUtilCode,"31,257",https://www.github.com/Blankj/AndroidUtilCode
xitu,gold-miner,"31,105",https://www.github.com/xitu/gold-miner
