username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,"95,070",https://www.github.com/justjavac/free-programming-books-zh_CN
angular,angular,"83,368",https://www.github.com/angular/angular
storybookjs,storybook,"73,469",https://www.github.com/storybookjs/storybook
leonardomso,33-js-concepts,"51,321",https://www.github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,"47,818",https://www.github.com/ionic-team/ionic-framework
prettier,prettier,"43,634",https://www.github.com/prettier/prettier
SheetJS,sheetjs,"31,047",https://www.github.com/SheetJS/sheetjs
angular,angular-cli,"25,572",https://www.github.com/angular/angular-cli
angular,components,"22,897",https://www.github.com/angular/components
NativeScript,NativeScript,"21,509",https://www.github.com/NativeScript/NativeScript
jhipster,generator-jhipster,"19,833",https://www.github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,"18,782",https://www.github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,"17,847",https://www.github.com/pubkey/rxdb
handsontable,handsontable,"16,960",https://www.github.com/handsontable/handsontable
teambit,bit,"15,652",https://www.github.com/teambit/bit
sweetalert2,sweetalert2,"14,863",https://www.github.com/sweetalert2/sweetalert2
nrwl,nx,"14,200",https://www.github.com/nrwl/nx
linnovate,mean,"12,156",https://www.github.com/linnovate/mean
codesandbox,codesandbox-client,"11,790",https://www.github.com/codesandbox/codesandbox-client
sudheerj,javascript-interview-questions,"11,567",https://www.github.com/sudheerj/javascript-interview-questions
