username,repo_name,stars,repo_url
ansible,ansible,"54,232",https://www.github.com/ansible/ansible
bregman-arie,devops-exercises,"28,383",https://www.github.com/bregman-arie/devops-exercises
trailofbits,algo,"25,967",https://www.github.com/trailofbits/algo
StreisandEffect,streisand,"22,839",https://www.github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,"16,792",https://www.github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,"12,730",https://www.github.com/kubernetes-sigs/kubespray
ansible,awx,"11,284",https://www.github.com/ansible/awx
easzlab,kubeasz,"8,413",https://www.github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,"6,088",https://www.github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,"6,036",https://www.github.com/khuedoan/homelab
ansible-semaphore,semaphore,"5,138",https://www.github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,"5,118",https://www.github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,"4,774",https://www.github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,"4,658",https://www.github.com/rundeck/rundeck
KubeOperator,KubeOperator,"4,408",https://www.github.com/KubeOperator/KubeOperator
clong,DetectionLab,"3,811",https://www.github.com/clong/DetectionLab
netbootxyz,netboot.xyz,"3,509",https://www.github.com/netbootxyz/netboot.xyz
ansible-community,molecule,"3,412",https://www.github.com/ansible-community/molecule
werf,werf,"3,282",https://www.github.com/werf/werf
opendevops-cn,opendevops,"3,247",https://www.github.com/opendevops-cn/opendevops
