username,repo_name,stars,repo_url
arendst,Tasmota,"18,167",https://www.github.com/arendst/Tasmota
MarlinFirmware,Marlin,"13,667",https://www.github.com/MarlinFirmware/Marlin
arduino,Arduino,"13,084",https://www.github.com/arduino/Arduino
rwaldron,johnny-five,"12,731",https://www.github.com/rwaldron/johnny-five
tinygo-org,tinygo,"11,394",https://www.github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,"10,302",https://www.github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,"9,183",https://www.github.com/espressif/arduino-esp32
hybridgroup,gobot,"7,879",https://www.github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,"7,740",https://www.github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,"6,057",https://www.github.com/platformio/platformio-core
bblanchon,ArduinoJson,"5,764",https://www.github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,"5,361",https://www.github.com/tzapu/WiFiManager
hybridgroup,cylon,"3,928",https://www.github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,"3,703",https://www.github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,"3,511",https://www.github.com/arduino/arduino-cli
blynkkk,blynk-library,"3,467",https://www.github.com/blynkkk/blynk-library
NectarJS,nectarjs,"3,305",https://www.github.com/NectarJS/nectarjs
olikraus,u8g2,"3,267",https://www.github.com/olikraus/u8g2
ClemensElflein,OpenMower,"3,213",https://www.github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,"2,812",https://www.github.com/Serial-Studio/Serial-Studio
