username,repo_name,stars,repo_url
atom,atom,"58,375",https://www.github.com/atom/atom
themerdev,themer,"4,831",https://www.github.com/themerdev/themer
miniflux,v2,"3,873",https://www.github.com/miniflux/v2
nteract,hydrogen,"3,818",https://www.github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,"3,708",https://www.github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,"2,379",https://www.github.com/atom/teletype
mmcdole,gofeed,"1,940",https://www.github.com/mmcdole/gofeed
mehcode,awesome-atom,"1,874",https://www.github.com/mehcode/awesome-atom
joefitzgerald,go-plus,"1,510",https://www.github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,"1,506",https://www.github.com/Glavin001/atom-beautify
simplepie,simplepie,"1,456",https://www.github.com/simplepie/simplepie
kurtmckee,feedparser,"1,453",https://www.github.com/kurtmckee/feedparser
ocaml,merlin,"1,422",https://www.github.com/ocaml/merlin
t9md,atom-vim-mode-plus,"1,405",https://www.github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,"1,333",https://www.github.com/MagicStack/MagicPython
atom,apm,"1,255",https://www.github.com/atom/apm
file-icons,atom,"1,224",https://www.github.com/file-icons/atom
kettanaito,atomic-layout,"1,092",https://www.github.com/kettanaito/atomic-layout
atom,github,"1,040",https://www.github.com/atom/github
nmdias,FeedKit,"1,003",https://www.github.com/nmdias/FeedKit
