username,repo_name,stars,repo_url
sindresorhus,awesome,"215,716",https://www.github.com/sindresorhus/awesome
vinta,awesome-python,"138,595",https://www.github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,"99,400",https://www.github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,"86,260",https://www.github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,"75,612",https://www.github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,"63,745",https://www.github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,"58,407",https://www.github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,"54,939",https://www.github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,"52,371",https://www.github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,"48,928",https://www.github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,"46,286",https://www.github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,"43,602",https://www.github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,"42,914",https://www.github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,"42,282",https://www.github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,"42,142",https://www.github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,"40,292",https://www.github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,"40,211",https://www.github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,"39,530",https://www.github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,"36,468",https://www.github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,"34,883",https://www.github.com/dypsilon/frontend-dev-bookmarks
