username,repo_name,stars,repo_url
bregman-arie,devops-exercises,"28,383",https://www.github.com/bregman-arie/devops-exercises
microsoft,recommenders,"13,865",https://www.github.com/microsoft/recommenders
pulumi,pulumi,"13,389",https://www.github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,"13,000",https://www.github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,"12,026",https://www.github.com/Azure/azure-quickstart-templates
mozilla,sops,"10,499",https://www.github.com/mozilla/sops
caprover,caprover,"9,014",https://www.github.com/caprover/caprover
microsoft,computervision-recipes,"8,616",https://www.github.com/microsoft/computervision-recipes
google,go-cloud,"8,523",https://www.github.com/google/go-cloud
infracost,infracost,"7,768",https://www.github.com/infracost/infracost
microsoft,azuredatastudio,"6,879",https://www.github.com/microsoft/azuredatastudio
node-formidable,formidable,"6,328",https://www.github.com/node-formidable/formidable
midwayjs,midway,"5,944",https://www.github.com/midwayjs/midway
thangchung,clean-code-dotnet,"5,323",https://www.github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,"4,924",https://www.github.com/aquasecurity/tfsec
budtmo,docker-android,"4,800",https://www.github.com/budtmo/docker-android
nccgroup,ScoutSuite,"4,558",https://www.github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,"4,553",https://www.github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,"4,280",https://www.github.com/cloud-custodian/cloud-custodian
Azure,azure-sdk-for-net,"3,899",https://www.github.com/Azure/azure-sdk-for-net
