username,repo_name,stars,repo_url
babel,babel,"41,256",https://www.github.com/babel/babel
nylas,nylas-mail,"24,668",https://www.github.com/nylas/nylas-mail
swc-project,swc,"23,546",https://www.github.com/swc-project/swc
kriasoft,react-starter-kit,"21,426",https://www.github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,"20,024",https://www.github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,"19,934",https://www.github.com/avajs/ava
SimulatedGREG,electron-vue,"15,029",https://www.github.com/SimulatedGREG/electron-vue
grab,front-end-guide,"14,563",https://www.github.com/grab/front-end-guide
jamiebuilds,babel-handbook,"11,130",https://www.github.com/jamiebuilds/babel-handbook
grommet,grommet,"8,009",https://www.github.com/grommet/grommet
developit,htm,"7,825",https://www.github.com/developit/htm
ben-rogerson,twin.macro,"6,153",https://www.github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,"6,128",https://www.github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,"5,569",https://www.github.com/documentationjs/documentation
insin,nwb,"5,491",https://www.github.com/insin/nwb
egoist,poi,"5,278",https://www.github.com/egoist/poi
thinkjs,thinkjs,"5,273",https://www.github.com/thinkjs/thinkjs
fkling,astexplorer,"4,887",https://www.github.com/fkling/astexplorer
transitive-bullshit,create-react-library,"4,719",https://www.github.com/transitive-bullshit/create-react-library
babel,babel-loader,"4,646",https://www.github.com/babel/babel-loader
