username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,"109,195",https://www.github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,"60,314",https://www.github.com/nvm-sh/nvm
junegunn,fzf,"46,460",https://www.github.com/junegunn/fzf
google,zx,"33,744",https://www.github.com/google/zx
dylanaraps,pure-bash-bible,"31,561",https://www.github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,"30,195",https://www.github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,"29,675",https://www.github.com/koalaman/shellcheck
mathiasbynens,dotfiles,"28,183",https://www.github.com/mathiasbynens/dotfiles
starship,starship,"28,085",https://www.github.com/starship/starship
acmesh-official,acme.sh,"27,761",https://www.github.com/acmesh-official/acme.sh
alebcay,awesome-shell,"24,534",https://www.github.com/alebcay/awesome-shell
withfig,autocomplete,"19,794",https://www.github.com/withfig/autocomplete
jaywcjlove,linux-command,"19,552",https://www.github.com/jaywcjlove/linux-command
dylanaraps,neofetch,"15,977",https://www.github.com/dylanaraps/neofetch
Nyr,openvpn-install,"15,541",https://www.github.com/Nyr/openvpn-install
rbenv,rbenv,"14,336",https://www.github.com/rbenv/rbenv
powerline,powerline,"13,457",https://www.github.com/powerline/powerline
shelljs,shelljs,"13,424",https://www.github.com/shelljs/shelljs
Bash-it,bash-it,"13,103",https://www.github.com/Bash-it/bash-it
faressoft,terminalizer,"12,862",https://www.github.com/faressoft/terminalizer
