username,repo_name,stars,repo_url
bitcoin,bitcoin,"65,813",https://www.github.com/bitcoin/bitcoin
ccxt,ccxt,"25,482",https://www.github.com/ccxt/ccxt
freqtrade,freqtrade,"18,967",https://www.github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,"17,587",https://www.github.com/HelloZeroNet/ZeroNet
askmike,gekko,"9,885",https://www.github.com/askmike/gekko
solana-labs,solana,"9,279",https://www.github.com/solana-labs/solana
bbfamily,abu,"9,238",https://www.github.com/bbfamily/abu
lbryio,lbry-sdk,"7,141",https://www.github.com/lbryio/lbry-sdk
dvf,blockchain,"7,061",https://www.github.com/dvf/blockchain
lightningnetwork,lnd,"6,231",https://www.github.com/lightningnetwork/lnd
yeasy,blockchain_guide,"6,208",https://www.github.com/yeasy/blockchain_guide
spesmilo,electrum,"5,882",https://www.github.com/spesmilo/electrum
butor,blackbird,"5,610",https://www.github.com/butor/blackbird
btcsuite,btcd,"4,920",https://www.github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,"4,687",https://www.github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,"4,390",https://www.github.com/bitcoinj/bitcoinj
jesse-ai,jesse,"4,128",https://www.github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,"4,111",https://www.github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,"4,069",https://www.github.com/bisq-network/bisq
coinpride,CryptoList,"3,807",https://www.github.com/coinpride/CryptoList
