username,repo_name,stars,repo_url
ccxt,ccxt,"25,482",https://www.github.com/ccxt/ccxt
discordjs,discord.js,"20,652",https://www.github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,"19,472",https://www.github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,"16,239",https://www.github.com/hubotio/hubot
RasaHQ,rasa,"14,719",https://www.github.com/RasaHQ/rasa
InstaPy,InstaPy,"14,546",https://www.github.com/InstaPy/InstaPy
wechaty,wechaty,"13,285",https://www.github.com/wechaty/wechaty
gunthercox,ChatterBot,"12,474",https://www.github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,"11,785",https://www.github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,"11,282",https://www.github.com/Rapptz/discord.py
howdyai,botkit,"10,815",https://www.github.com/howdyai/botkit
botpress,botpress,"9,824",https://www.github.com/botpress/botpress
sfyc23,EverydayWechat,"9,073",https://www.github.com/sfyc23/EverydayWechat
leon-ai,leon,"8,970",https://www.github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,"7,440",https://www.github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,"7,105",https://www.github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,"6,879",https://www.github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,"6,858",https://www.github.com/microsoft/botframework-sdk
yagop,node-telegram-bot-api,"6,426",https://www.github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,"6,142",https://www.github.com/maxbbraun/trump2cash
