username,repo_name,stars,repo_url
CyC2018,CS-Notes,"155,680",https://www.github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,"75,278",https://www.github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,"49,093",https://www.github.com/azl397985856/leetcode
fffaraz,awesome-cpp,"39,530",https://www.github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,"38,900",https://www.github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,"30,770",https://www.github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,"26,317",https://www.github.com/carbon-language/carbon-lang
microsoft,calculator,"25,465",https://www.github.com/microsoft/calculator
huihut,interview,"25,438",https://www.github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,"24,757",https://www.github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,"21,351",https://www.github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,"20,554",https://www.github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,"18,419",https://www.github.com/changkun/modern-cpp-tutorial
ethereum,solidity,"17,953",https://www.github.com/ethereum/solidity
microsoft,vcpkg,"16,478",https://www.github.com/microsoft/vcpkg
catchorg,Catch2,"15,423",https://www.github.com/catchorg/Catch2
doocs,leetcode,"15,396",https://www.github.com/doocs/leetcode
gabime,spdlog,"15,330",https://www.github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,"14,580",https://www.github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,"14,457",https://www.github.com/ssloy/tinyrenderer
