username,repo_name,stars,repo_url
Genymobile,scrcpy,"69,269",https://www.github.com/Genymobile/scrcpy
neovim,neovim,"56,961",https://www.github.com/neovim/neovim
git,git,"43,229",https://www.github.com/git/git
obsproject,obs-studio,"40,488",https://www.github.com/obsproject/obs-studio
fffaraz,awesome-cpp,"39,530",https://www.github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,"31,680",https://www.github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,"31,274",https://www.github.com/FFmpeg/FFmpeg
vim,vim,"28,254",https://www.github.com/vim/vim
curl,curl,"26,318",https://www.github.com/curl/curl
huihut,interview,"25,438",https://www.github.com/huihut/interview
ggreer,the_silver_searcher,"24,014",https://www.github.com/ggreer/the_silver_searcher
pbatard,rufus,"19,825",https://www.github.com/pbatard/rufus
mpv-player,mpv,"19,755",https://www.github.com/mpv-player/mpv
ruby,ruby,"19,421",https://www.github.com/ruby/ruby
ossrs,srs,"18,950",https://www.github.com/ossrs/srs
google,flatbuffers,"18,571",https://www.github.com/google/flatbuffers
oracle,graal,"17,351",https://www.github.com/oracle/graal
radareorg,radare2,"16,723",https://www.github.com/radareorg/radare2
microsoft,vcpkg,"16,478",https://www.github.com/microsoft/vcpkg
kovidgoyal,kitty,"15,726",https://www.github.com/kovidgoyal/kitty
