username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,"28,415",https://www.github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,"19,552",https://www.github.com/jaywcjlove/linux-command
refined-github,refined-github,"18,589",https://www.github.com/refined-github/refined-github
darkreader,darkreader,"14,738",https://www.github.com/darkreader/darkreader
checkly,headless-recorder,"14,391",https://www.github.com/checkly/headless-recorder
unbug,codelf,"13,052",https://www.github.com/unbug/codelf
Anarios,return-youtube-dislike,"9,822",https://www.github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,"9,545",https://www.github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,"8,982",https://www.github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,"8,770",https://www.github.com/listen1/listen1_chrome_extension
dailydotdev,daily,"8,165",https://www.github.com/dailydotdev/daily
appbaseio,dejavu,"7,878",https://www.github.com/appbaseio/dejavu
alyssaxuu,screenity,"7,425",https://www.github.com/alyssaxuu/screenity
Kenshin,simpread,"6,202",https://www.github.com/Kenshin/simpread
ajayyy,SponsorBlock,"5,334",https://www.github.com/ajayyy/SponsorBlock
AutomaApp,automa,"5,294",https://www.github.com/AutomaApp/automa
dessant,buster,"5,124",https://www.github.com/dessant/buster
alyssaxuu,omni,"5,112",https://www.github.com/alyssaxuu/omni
manojVivek,medium-unlimited,"4,952",https://www.github.com/manojVivek/medium-unlimited
webclipper,web-clipper,"4,444",https://www.github.com/webclipper/web-clipper
