username,repo_name,stars,repo_url
electron,electron,"103,278",https://www.github.com/electron/electron
puppeteer,puppeteer,"79,517",https://www.github.com/puppeteer/puppeteer
microsoft,playwright,"41,391",https://www.github.com/microsoft/playwright
FiloSottile,mkcert,"36,419",https://www.github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,"28,415",https://www.github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,"22,138",https://www.github.com/ovity/octotree
jaywcjlove,linux-command,"19,552",https://www.github.com/jaywcjlove/linux-command
segmentio,nightmare,"19,263",https://www.github.com/segmentio/nightmare
checkly,headless-recorder,"14,391",https://www.github.com/checkly/headless-recorder
google,WebFundamentals,"13,411",https://www.github.com/google/WebFundamentals
prisma-archive,chromeless,"13,244",https://www.github.com/prisma-archive/chromeless
casesandberg,react-color,"10,863",https://www.github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,"10,505",https://www.github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,"9,545",https://www.github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,"8,982",https://www.github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,"8,556",https://www.github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,"8,082",https://www.github.com/uBlock-LLC/uBlock
chromedp,chromedp,"8,015",https://www.github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,"6,667",https://www.github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,"6,206",https://www.github.com/kangvcar/InfoSpider
