username,repo_name,stars,repo_url
metabase,metabase,"29,497",https://www.github.com/metabase/metabase
logseq,logseq,"16,069",https://www.github.com/logseq/logseq
eclipse,deeplearning4j,"12,582",https://www.github.com/eclipse/deeplearning4j
LightTable,LightTable,"11,717",https://www.github.com/LightTable/LightTable
penpot,penpot,"10,892",https://www.github.com/penpot/penpot
kanaka,mal,"8,840",https://www.github.com/kanaka/mal
lk-geimfari,awesomo,"8,534",https://www.github.com/lk-geimfari/awesomo
tonsky,datascript,"4,869",https://www.github.com/tonsky/datascript
reagent-project,reagent,"4,492",https://www.github.com/reagent-project/reagent
riemann,riemann,"4,133",https://www.github.com/riemann/riemann
weavejester,compojure,"3,955",https://www.github.com/weavejester/compojure
bbatsov,clojure-style-guide,"3,850",https://www.github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,"3,749",https://www.github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,"3,492",https://www.github.com/status-im/status-mobile
ring-clojure,ring,"3,480",https://www.github.com/ring-clojure/ring
clojure-emacs,cider,"3,344",https://www.github.com/clojure-emacs/cider
viebel,klipse,"2,963",https://www.github.com/viebel/klipse
babashka,babashka,"2,895",https://www.github.com/babashka/babashka
bhauman,lein-figwheel,"2,883",https://www.github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,"2,881",https://www.github.com/tallesl/Rich-Hickey-fanclub
