username,repo_name,stars,repo_url
realm,SwiftLint,"16,436",https://www.github.com/realm/SwiftLint
facebook,infer,"13,472",https://www.github.com/facebook/infer
analysis-tools-dev,static-analysis,"10,189",https://www.github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,"7,735",https://www.github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,"7,230",https://www.github.com/checkstyle/checkstyle
SonarSource,sonarqube,"7,080",https://www.github.com/SonarSource/sonarqube
facebook,pyre-check,"6,012",https://www.github.com/facebook/pyre-check
reviewdog,reviewdog,"5,387",https://www.github.com/reviewdog/reviewdog
detekt,detekt,"4,768",https://www.github.com/detekt/detekt
simplecov-ruby,simplecov,"4,492",https://www.github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,"4,244",https://www.github.com/import-js/eslint-plugin-import
PyCQA,pylint,"4,162",https://www.github.com/PyCQA/pylint
pmd,pmd,"3,961",https://www.github.com/pmd/pmd
phpro,grumphp,"3,798",https://www.github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,"3,558",https://www.github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,"2,831",https://www.github.com/htmlhint/HTMLHint
kucherenko,jscpd,"2,771",https://www.github.com/kucherenko/jscpd
codeclimate,codeclimate,"2,336",https://www.github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,"1,988",https://www.github.com/wemake-services/wemake-python-styleguide
uber,piranha,"1,960",https://www.github.com/uber/piranha
