username,repo_name,stars,repo_url
ovity,octotree,"22,138",https://www.github.com/ovity/octotree
gitpod-io,gitpod,"8,810",https://www.github.com/gitpod-io/gitpod
reviewdog,reviewdog,"5,387",https://www.github.com/reviewdog/reviewdog
danger,danger,"4,907",https://www.github.com/danger/danger
danger,danger-js,"4,562",https://www.github.com/danger/danger-js
joho,awesome-code-review,"3,543",https://www.github.com/joho/awesome-code-review
ajinabraham,nodejsscan,"2,011",https://www.github.com/ajinabraham/nodejsscan
houndci,hound,"1,908",https://www.github.com/houndci/hound
microsoft,vscode-pull-request-github,"1,896",https://www.github.com/microsoft/vscode-pull-request-github
mbj,mutant,"1,854",https://www.github.com/mbj/mutant
crev-dev,cargo-crev,"1,716",https://www.github.com/crev-dev/cargo-crev
reviewboard,reviewboard,"1,436",https://www.github.com/reviewboard/reviewboard
Tencent,CodeAnalysis,"1,229",https://www.github.com/Tencent/CodeAnalysis
ryanmcdermott,code-review-tips,"1,200",https://www.github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,"1,131",https://www.github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,"1,069",https://www.github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,845,https://www.github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,817,https://www.github.com/TeamCodeStream/codestream
enlightn,enlightn,680,https://www.github.com/enlightn/enlightn
palantir,policy-bot,514,https://www.github.com/palantir/policy-bot
