username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,"149,116",https://www.github.com/ohmyzsh/ohmyzsh
junegunn,fzf,"46,460",https://www.github.com/junegunn/fzf
sharkdp,bat,"36,495",https://www.github.com/sharkdp/bat
sherlock-project,sherlock,"34,891",https://www.github.com/sherlock-project/sherlock
google,zx,"33,744",https://www.github.com/google/zx
wagoodman,dive,"33,294",https://www.github.com/wagoodman/dive
BurntSushi,ripgrep,"32,690",https://www.github.com/BurntSushi/ripgrep
chubin,cheat.sh,"30,081",https://www.github.com/chubin/cheat.sh
cli,cli,"29,531",https://www.github.com/cli/cli
jesseduffield,lazygit,"29,196",https://www.github.com/jesseduffield/lazygit
spf13,cobra,"28,228",https://www.github.com/spf13/cobra
angular,angular-cli,"25,572",https://www.github.com/angular/angular-cli
alebcay,awesome-shell,"24,534",https://www.github.com/alebcay/awesome-shell
sharkdp,fd,"24,218",https://www.github.com/sharkdp/fd
n8n-io,n8n,"24,082",https://www.github.com/n8n-io/n8n
ibraheemdev,modern-unix,"23,688",https://www.github.com/ibraheemdev/modern-unix
httpie,httpie,"23,216",https://www.github.com/httpie/httpie
google,python-fire,"22,863",https://www.github.com/google/python-fire
tqdm,tqdm,"22,752",https://www.github.com/tqdm/tqdm
vercel,pkg,"21,769",https://www.github.com/vercel/pkg
