username,repo_name,stars,repo_url
vercel,next.js,"91,414",https://www.github.com/vercel/next.js
rust-lang,rust,"70,981",https://www.github.com/rust-lang/rust
sveltejs,svelte,"61,645",https://www.github.com/sveltejs/svelte
webpack,webpack,"61,617",https://www.github.com/webpack/webpack
gatsbyjs,gatsby,"53,414",https://www.github.com/gatsbyjs/gatsby
JetBrains,kotlin,"42,411",https://www.github.com/JetBrains/kotlin
babel,babel,"41,256",https://www.github.com/babel/babel
parcel-bundler,parcel,"41,189",https://www.github.com/parcel-bundler/parcel
evanw,esbuild,"32,903",https://www.github.com/evanw/esbuild
vlang,v,"30,135",https://www.github.com/vlang/v
markedjs,marked,"28,096",https://www.github.com/markedjs/marked
carbon-language,carbon-lang,"26,317",https://www.github.com/carbon-language/carbon-lang
swc-project,swc,"23,546",https://www.github.com/swc-project/swc
vercel,pkg,"21,769",https://www.github.com/vercel/pkg
v8,v8,"20,039",https://www.github.com/v8/v8
ziglang,zig,"17,099",https://www.github.com/ziglang/zig
AssemblyScript,assemblyscript,"14,414",https://www.github.com/AssemblyScript/assemblyscript
nim-lang,Nim,"13,445",https://www.github.com/nim-lang/Nim
Konloch,bytecode-viewer,"13,205",https://www.github.com/Konloch/bytecode-viewer
RustPython,RustPython,"11,928",https://www.github.com/RustPython/RustPython
