username,repo_name,stars,repo_url
localstack,localstack,"43,061",https://www.github.com/localstack/localstack
harness,drone,"25,541",https://www.github.com/harness/drone
jenkinsci,jenkins,"19,341",https://www.github.com/jenkinsci/jenkins
auchenberg,volkswagen,"12,466",https://www.github.com/auchenberg/volkswagen
theonedev,onedev,"9,478",https://www.github.com/theonedev/onedev
openshift,origin,"8,176",https://www.github.com/openshift/origin
gocd,gocd,"6,557",https://www.github.com/gocd/gocd
concourse,concourse,"6,492",https://www.github.com/concourse/concourse
buildbot,buildbot,"4,877",https://www.github.com/buildbot/buildbot
gaia-pipeline,gaia,"4,776",https://www.github.com/gaia-pipeline/gaia
Strider-CD,strider,"4,569",https://www.github.com/Strider-CD/strider
jenkins-x,jx,"4,224",https://www.github.com/jenkins-x/jx
ovh,cds,"3,948",https://www.github.com/ovh/cds
xcpretty,xcpretty,"3,775",https://www.github.com/xcpretty/xcpretty
hygieia,hygieia,"3,703",https://www.github.com/hygieia/hygieia
iterative,cml,"3,430",https://www.github.com/iterative/cml
cake-build,cake,"3,359",https://www.github.com/cake-build/cake
werf,werf,"3,282",https://www.github.com/werf/werf
JamesIves,github-pages-deploy-action,"3,122",https://www.github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,"2,970",https://www.github.com/ligurio/awesome-ci
