username,repo_name,stars,repo_url
mrdoob,three.js,"84,558",https://www.github.com/mrdoob/three.js
libgdx,libgdx,"20,358",https://www.github.com/libgdx/libgdx
pmndrs,react-three-fiber,"19,186",https://www.github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,"18,162",https://www.github.com/BabylonJS/Babylon.js
aframevr,aframe,"14,458",https://www.github.com/aframevr/aframe
ssloy,tinyrenderer,"14,457",https://www.github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,"13,530",https://www.github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,"11,972",https://www.github.com/FreeCAD/FreeCAD
metafizzy,zdog,"9,298",https://www.github.com/metafizzy/zdog
CesiumGS,cesium,"9,098",https://www.github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,"8,175",https://www.github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,"7,272",https://www.github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,"7,195",https://www.github.com/a1studmuffin/SpaceshipGenerator
blender,blender,"6,329",https://www.github.com/blender/blender
domlysz,BlenderGIS,"5,517",https://www.github.com/domlysz/BlenderGIS
spritejs,spritejs,"4,949",https://www.github.com/spritejs/spritejs
openscad,openscad,"4,945",https://www.github.com/openscad/openscad
jagenjo,webglstudio.js,"4,693",https://www.github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,"4,692",https://www.github.com/tensorspace-team/tensorspace
YadiraF,PRNet,"4,672",https://www.github.com/YadiraF/PRNet
